subset,xpos,ypos
"UNSEEN CORRECT",0.4235523635839037,0.4835247068584301
"UNSEEN CORRECT",0.8497580293431389,0.86771072379849
"UNSEEN WRONG",0.46565556397038743,0.09052327865450449
"UNSEEN CORRECT",0.2780977143978849,0.5507751385332775
"UNSEEN CORRECT",0.3956625236696796,0.524194349780672
"UNSEEN CORRECT",0.824314017453508,0.7846659414086348
"UNSEEN CORRECT",0.6850783500198485,0.5309481037064465
"UNSEEN CORRECT",0.8350215677697124,0.8689352636825538
"UNSEEN CORRECT",0.31929437263430904,0.5194572485048924
"UNSEEN CORRECT",0.2486760901398576,0.5263346213878262
"UNSEEN CORRECT",0.8467511550949001,0.7251933688455826
"UNSEEN CORRECT",0.4383447875748339,0.4669934826101747
"UNSEEN WRONG",0.5193480161379794,0.15624709890635502
"UNSEEN CORRECT",0.8301146116896077,0.806190238954376
"UNSEEN WRONG",0.46802799422329033,0.09055354559330203
"UNSEEN CORRECT",0.5269558597693882,0.1402550809007133
"UNSEEN CORRECT",0.39697981042274255,0.5235921967021755
"UNSEEN CORRECT",0.31011593038433777,0.5540707657849244
"UNSEEN WRONG",0.45169633068600296,0.15794429114831038
"UNSEEN CORRECT",0.7634029302288013,0.6631880885380641
"UNSEEN CORRECT",0.7961999726276596,0.6756848852270305
"UNSEEN CORRECT",0.840862131270119,0.8850962534368382
"UNSEEN CORRECT",0.8547491707644261,0.8382908027718969
"UNSEEN CORRECT",0.33084802681525094,0.3101596421676238
"UNSEEN CORRECT",0.31975788293062885,0.4103484158322879
"UNSEEN CORRECT",0.8185933833032168,0.7420523777688925
"UNSEEN CORRECT",0.31769123850229775,0.35525776985348617
"UNSEEN CORRECT",0.38342791371249674,0.4659396330660591
"UNSEEN CORRECT",0.26908574586273687,0.5167234706644362
"UNSEEN CORRECT",0.3682765492740725,0.5137729269591456
"UNSEEN CORRECT",0.85329825259133,0.7335478580505347
"UNSEEN CORRECT",0.2814988049194108,0.831443283956399
"UNSEEN CORRECT",0.37127247412361697,0.2555745994707998
"UNSEEN CORRECT",0.8672084601069263,0.7103102619529906
"UNSEEN WRONG",0.5025756608596404,0.161367354243732
"UNSEEN CORRECT",0.2804613117258909,0.42748535127026277
"UNSEEN CORRECT",0.31438073234446207,0.408680504483577
"UNSEEN CORRECT",0.861500984350142,0.9085202019674102
"UNSEEN CORRECT",0.5293903748700124,0.5033870841418024
"UNSEEN CORRECT",0.523749372862246,0.11598009180753699
"UNSEEN CORRECT",0.2549910220265184,0.4527108884364142
"UNSEEN CORRECT",0.8202571537298861,0.7423135831294237
"UNSEEN CORRECT",0.5302406564581352,0.4912905499782751
"UNSEEN CORRECT",0.6426811728834179,0.551156672569322
"UNSEEN CORRECT",0.8763399219843526,0.805052179454786
"UNSEEN CORRECT",0.6385475776435499,0.5005024531797024
"UNSEEN CORRECT",0.828932514712603,0.6726586019828343
"UNSEEN CORRECT",0.43376794908228233,0.5164805891069701
"UNSEEN CORRECT",0.28196451415119184,0.4529607408926027
"UNSEEN CORRECT",0.1568535717082552,0.19442912060439366
"UNSEEN CORRECT",0.3293582335900469,0.3738066344062345
"UNSEEN CORRECT",0.8580648181680253,0.9116560347122848
